index date open high low close closeAdj volume closeUSD
HSI 2020-01-02 28249.36914 28543.51953 28245.9707 28543.51953 28543.51953 1262732800.0 3710.6575389000000
HSI 2020-01-03 28828.35938 28883.30078 28428.16992 28451.5 28451.5 1797904800.0 3698.695
HSI 2020-01-06 28326.5 28367.86914 28054.28906 28226.18945 28226.18945 1793426600.0 3669.4046285000000
HSI 2020-01-07 28352.67969 28473.08008 28264.07031 28322.06055 28322.06055 1302687200.0 3681.8678715
HSI 2020-01-08 27999.58008 28198.60938 27857.73047 28087.91992 28087.91992 1709241600.0 3651.4295896000000
HSI 2020-01-09 28367.65039 28561.0 28325.85938 28561.0 28561.0 1692786200.0 3712.9300000000000
HSI 2020-01-10 28665.14063 28665.14063 28504.26953 28638.19922 28638.19922 1448401000.0 3722.9658986
HSI 2020-01-13 28772.36914 28971.40039 28671.83984 28954.93945 28954.93945 1765055700.0 3764.1421285
HSI 2020-01-14 29149.5293 29149.5293 28790.49023 28885.14063 28885.14063 1643504700.0 3755.0682819000000
HSI 2020-01-15 28891.07031 28972.67969 28619.09961 28773.58984 28773.58984 1240120700.0 3740.5666792
HSI 2020-01-16 28806.11914 28987.73047 28709.57031 28883.03906 28883.03906 1620926200.0 3754.7950778
HSI 2020-01-17 28988.16016 29101.15039 28813.13086 29056.41992 29056.41992 1545082800.0 3777.3345896
HSI 2020-01-20 29169.11914 29174.91992 28795.41992 28795.91016 28795.91016 1633383900.0 3743.4683208
HSI 2020-01-21 28449.38086 28492.0293 27980.5 27985.33008 27985.33008 2236521700.0 3638.0929104
HSI 2020-01-22 28116.5 28393.92969 27937.67969 28341.03906 28341.03906 1343288100.0 3684.3350778
HSI 2020-01-23 28109.75 28133.0293 27706.36914 27909.11914 27909.11914 1753263000.0 3628.1854882
HSI 2020-01-24 27935.41992 27977.63086 27774.5 27949.64063 27949.64063 612128700.0 3633.4532819000000
HSI 2020-01-29 27101.53906 27333.30078 27101.53906 27160.63086 27160.63086 2203836100.0 3530.8820118000000
HSI 2020-01-30 27030.60938 27134.55078 26330.05078 26449.13086 26449.13086 2223567800.0 3438.3870118000000
HSI 2020-01-31 26757.60938 26818.83984 26295.49023 26312.63086 26312.63086 1874255200.0 3420.6420118
HSI 2020-02-03 26189.60938 26512.58008 26145.58984 26356.98047 26356.98047 2421482700.0 3426.4074611
HSI 2020-02-04 26491.66016 26730.25977 26491.66016 26675.98047 26675.98047 2500238100.0 3467.8774611
HSI 2020-02-05 26869.32031 26926.11914 26641.91992 26786.74023 26786.74023 2498930800.0 3482.2762299
HSI 2020-02-06 27174.5293 27608.2207 27029.49023 27493.69922 27493.69922 2249533900.0 3574.1808986
HSI 2020-02-07 27356.2793 27410.58008 27224.11914 27404.26953 27404.26953 1464514700.0 3562.5550389000000
HSI 2020-02-10 27092.15039 27314.64063 27044.88086 27241.33984 27241.33984 1612017900.0 3541.3741792
HSI 2020-02-11 27514.25 27674.81055 27436.99023 27583.88086 27583.88086 1868625400.0 3585.9045118000000
HSI 2020-02-12 27717.2207 27892.48047 27614.83008 27823.66016 27823.66016 1796561200.0 3617.0758208
HSI 2020-02-13 27953.65039 27953.65039 27695.59961 27730.0 27730.0 1617010200.0 3604.9
HSI 2020-02-14 27698.56055 27960.66016 27695.58984 27815.59961 27815.59961 1445335900.0 3616.0279493000000
HSI 2020-02-17 27766.71094 28055.58008 27766.71094 27959.59961 27959.59961 1412999200.0 3634.7479493
HSI 2020-02-18 27766.5 27771.30078 27496.25 27530.19922 27530.19922 1592221400.0 3578.9258986
HSI 2020-02-19 27486.46094 27697.46094 27448.59961 27655.81055 27655.81055 1471538100.0 3595.2553715
HSI 2020-02-20 27767.2793 27767.2793 27383.13086 27609.16016 27609.16016 1582073100.0 3589.1908208
HSI 2020-02-21 27450.46094 27484.5293 27264.7793 27308.81055 27308.81055 1773613400.0 3550.1453715
HSI 2020-02-24 27105.34961 27105.34961 26813.2207 26820.88086 26820.88086 2044657000.0 3486.7145118000000
HSI 2020-02-25 26722.39063 26914.05078 26667.03906 26893.23047 26893.23047 1924042900.0 3496.1199611000000
HSI 2020-02-26 26479.90039 26776.06055 26479.90039 26696.49023 26696.49023 2040000000.0 3470.5437299
HSI 2020-02-27 26529.16992 26849.57031 26419.9707 26778.61914 26778.61914 2110369700.0 3481.2204882
HSI 2020-02-28 26249.06055 26313.55078 25989.41016 26129.92969 26129.92969 3191426200.0 3396.8908597000000
HSI 2020-03-02 26077.73047 26375.91016 26077.73047 26291.67969 26291.67969 2201535600.0 3417.9183597
HSI 2020-03-03 26419.13086 26527.75 26233.39063 26284.82031 26284.82031 2136295000.0 3417.0266403
HSI 2020-03-04 26321.56055 26372.48047 26038.39063 26222.07031 26222.07031 1957062400.0 3408.8691403
HSI 2020-03-05 26348.16016 26805.58008 26315.35938 26767.86914 26767.86914 2522843200.0 3479.8229882
HSI 2020-03-06 26397.7793 26408.80078 26084.23047 26146.66992 26146.66992 2646519300.0 3399.0670896
HSI 2020-03-09 25134.01953 25321.2793 24948.38086 25040.46094 25040.46094 4677892400.0 3255.2599222000000
HSI 2020-03-10 25285.67969 25578.60938 24978.9707 25392.50977 25392.50977 3225661100.0 3301.0262701
HSI 2020-03-11 25459.96094 25493.23047 25140.38086 25231.60938 25231.60938 2627625600.0 3280.1092194000000
HSI 2020-03-12 24657.66992 24657.66992 24117.93945 24309.07031 24309.07031 3748928400.0 3160.1791403
HSI 2020-03-13 22519.32031 24184.48047 22519.32031 24032.91016 24032.91016 5495155700.0 3124.2783208
HSI 2020-03-16 23317.81055 23631.5293 22842.25 23063.57031 23063.57031 4067029300.0 2998.2641403
HSI 2020-03-17 23001.75977 23401.19922 22676.46094 23263.73047 23263.73047 3637973700.0 3024.2849611
HSI 2020-03-18 23023.33984 23425.0293 22167.41992 22291.82031 22291.82031 4217153600.0 2897.9366403
HSI 2020-03-19 22221.38086 22380.33984 21139.25977 21709.13086 21709.13086 5628397600.0 2822.1870118
HSI 2020-03-20 22147.33984 22805.07031 22147.33984 22805.07031 22805.07031 4528187900.0 2964.6591403
HSI 2020-03-23 21696.13086 21696.13086 21696.13086 21696.13086 21696.13086 0.0 2820.4970118
HSI 2020-03-24 22497.57031 22753.00977 22383.25 22663.49023 22663.49023 3614066700.0 2946.2537299
HSI 2020-03-25 23255.91016 23569.44922 23062.23047 23527.18945 23527.18945 3605374900.0 3058.5346285000000
HSI 2020-03-26 23604.83008 23604.83008 23163.66992 23352.33984 23352.33984 2519508100.0 3035.8041792000000
HSI 2020-03-27 23768.41016 23791.19922 23354.00977 23484.2793 23484.2793 2199674300.0 3052.9563090000000
HSI 2020-03-30 23020.84961 23491.50977 22973.33008 23175.10938 23175.10938 2553435900.0 3012.7642194000000
HSI 2020-03-31 23613.26953 23627.5293 23238.03906 23603.48047 23603.48047 2876326600.0 3068.4524611000000
HSI 2020-04-01 23365.90039 23540.00977 22947.64063 23085.78906 23085.78906 2879977600.0 3001.1525778
HSI 2020-04-02 22838.66992 23280.06055 22756.13086 23280.06055 23280.06055 2560937400.0 3026.4078715
HSI 2020-04-03 23072.94922 23236.10938 23030.58008 23236.10938 23236.10938 1870630600.0 3020.6942194000000
HSI 2020-04-06 23558.83008 23832.92969 23271.4707 23749.11914 23749.11914 1834036600.0 3087.3854882
HSI 2020-04-07 24093.05078 24262.00977 23796.0293 24253.28906 24253.28906 2535034600.0 3152.9275778
HSI 2020-04-08 24191.32031 24191.32031 23897.40039 23970.36914 23970.36914 1840854100.0 3116.1479882
HSI 2020-04-09 24181.32031 24308.68945 24045.17969 24300.33008 24300.33008 1725334600.0 3159.0429104
HSI 2020-04-14 24347.60938 24546.39063 24283.13086 24435.40039 24435.40039 2050447800.0 3176.6020507
HSI 2020-04-15 24499.85938 24603.59961 24090.5 24145.33984 24145.33984 1906625200.0 3138.8941792
HSI 2020-04-16 24025.44922 24102.91016 23854.78906 24006.44922 24006.44922 1865473400.0 3120.8383986
HSI 2020-04-17 24457.83008 24666.64063 24308.7793 24380.0 24380.0 1937579000.0 3169.4
HSI 2020-04-20 24503.56055 24503.56055 24225.55078 24330.01953 24330.01953 1375091600.0 3162.9025389000000
